country,location,longitude,latitude,start,end,epiUnit,species,death,cases,animale type,event_id,outbreak_id
Switzerland,Dietikon,8.419,47.401,2/28/2023,12/31/1969,Other,Mute Swan,1,1,wild,4733,115460
Switzerland,Enge,8.538,47.364,2/28/2023,12/31/1969,Body of water,Mute Swan,1,1,wild,4733,115458
Switzerland,Lac de Neuchâtel,6.644,46.787,2/28/2023,12/31/1969,Body of water,Black-headed Gull,2,2,wild,4733,115454
Switzerland,Romanshorn,9.38,47.565,2/28/2023,12/31/1969,Body of water,Black-headed Gull;Little Grebe,4,4,wild,4733,115449
Switzerland,Stein am Rhein,8.862,47.658,2/28/2023,12/31/1969,Other,Eurasian buzzard (common buzzard),1,1,wild,4733,115446
Switzerland,Littau,8.289,47.056,2/28/2023,12/31/1969,Other,Black-headed Gull,1,1,wild,4733,115443
Switzerland,Hemishofen,8.818,47.685,2/26/2023,12/31/1969,Other,Black-headed Gull,0,1,wild,4733,115442
Switzerland,Risch,8.428,47.146,2/25/2023,12/31/1969,Other,Black-headed Gull,1,1,wild,4733,115440
Switzerland,Murtensee,7.103,46.932,2/23/2023,12/31/1969,Body of water,Black-headed Gull,0,1,wild,4733,115438
Switzerland,Wädenswil,8.676,47.228,2/22/2023,12/31/1969,Body of water,Black-headed Gull,3,3,wild,4733,115437
Switzerland,Meilen,8.641,47.267,2/22/2023,12/31/1969,Body of water,Black-headed Gull,2,2,wild,4733,115436
Switzerland,Küsnacht,8.583,47.309,2/22/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115435
Switzerland,Kilchberg,8.551,47.323,2/22/2023,12/31/1969,Body of water,Black-headed Gull,2,2,wild,4733,115434
Switzerland,Coinsins,6.237,46.424,2/22/2023,12/31/1969,Other,Black-headed Gull,0,1,wild,4733,115432
Switzerland,Zugersee,8.487,47.178,2/20/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115430
Switzerland,Zugersee,8.454,47.174,2/21/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,115429
Switzerland,Augst,7.708,47.536,2/21/2023,12/31/1969,Other,Mute Swan,2,2,wild,4733,115427
Switzerland,Unterengstringen,8.418,47.401,2/21/2023,12/31/1969,Other,Mute Swan,1,1,wild,4733,114788
Switzerland,Schaffhausen,8.632,47.697,2/21/2023,12/31/1969,Other,Black-headed Gull,0,1,wild,4733,114787
Switzerland,Landschlacht,9.248,47.63,2/20/2023,12/31/1969,Body of water,Black-headed Gull,2,2,wild,4733,114786
Switzerland,Luzern,8.314,47.047,2/20/2023,12/31/1969,Other,Black-headed Gull,0,1,wild,4733,114785
Switzerland,Schaffhausen,8.632,47.697,2/19/2023,12/31/1969,Other,Grey Heron;Black-headed Gull,2,2,wild,4733,114784
Switzerland,Zug,8.512,47.164,2/17/2023,12/31/1969,Body of water,Black-headed Gull,2,2,wild,4733,114783
Switzerland,Ermatingen,9.088,47.675,2/16/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,114782
Switzerland,Döttingen,8.256,47.577,2/15/2023,12/31/1969,Other,Black-headed Gull,0,1,wild,4733,114781
Switzerland,Kilchberg,8.545,47.333,2/13/2023,12/31/1969,Body of water,Common Tern,2,2,wild,4733,114373
Switzerland,Seefeld,8.541,47.366,2/13/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,114371
Switzerland,Seefeld,8.548,47.357,2/13/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,114370
Switzerland,Basel-Stadt,7.603,47.557,2/9/2023,12/31/1969,Other,Caspian Gull,1,1,wild,4733,114170
Switzerland,Wollishofen,8.536,47.338,2/12/2023,12/31/1969,Other,Eurasian buzzard (common buzzard),0,1,wild,4733,114169
Switzerland,Greifensee,8.676,47.364,2/12/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,114168
Switzerland,Seefeld,8.553,47.352,2/12/2023,12/31/1969,Body of water,Black-headed Gull,0,1,wild,4733,114167
Switzerland,Enge,8.536,47.368,2/12/2023,12/31/1969,Other,Black-headed Gull,0,1,wild,4733,114165
Switzerland,Küsnacht,8.584,47.316,2/12/2023,12/31/1969,Other,Black-headed Gull,1,1,wild,4733,114164
Switzerland,Seefeld,8.542,47.368,2/12/2023,12/31/1969,Body of water,Black-headed Gull,2,2,wild,4733,114163
Switzerland,Seefeld,8.548,47.346,2/12/2023,12/31/1969,Body of water,Black-headed Gull,5,5,wild,4733,114162
Switzerland,Seefeld,8.539,47.365,2/9/2023,12/31/1969,Body of water,Black-headed Gull,0,1,wild,4733,114161
Switzerland,Seefeld,8.546,47.36,2/8/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,114160
Switzerland,Seefeld,8.554,47.351,2/9/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,114159
Switzerland,Uttwil,9.344,47.585,2/9/2023,12/31/1969,Other,Yellow-legged Gull,0,1,wild,4733,114158
Switzerland,Basel-Stadt,7.5876,47.5845,2/5/2023,12/31/1969,Other,Black-headed Gull,1,1,wild,4733,114157
Switzerland,Basel-Stadt,7.584,47.563,2/5/2023,12/31/1969,Other,Black-headed Gull,1,1,wild,4733,114156
Switzerland,Oberkirch,8.125,47.156,2/12/2023,12/31/1969,Body of water,Caspian Gull,1,1,wild,4733,113929
Switzerland,Basel-Stadt,7.591,47.588,1/30/2023,12/31/1969,Other,Black-headed Gull,3,3,wild,4733,113928
Switzerland,Basel-Stadt,7.603,47.565,2/2/2023,12/31/1969,Other,Black-headed Gull,1,1,wild,4733,114153
Switzerland,Zürich,8.521,47.392,2/6/2023,12/31/1969,Other,Black-headed Gull,1,1,wild,4733,114155
Switzerland,Zurich,8.6944,47.6369,2/2/2023,12/31/1969,Backyard,Anatidae (unidentified);Black Swan,3,8,wild,4733,113817
Switzerland,Rehalp,8.581,47.353,1/25/2023,12/31/1969,Other,Peregrin falcon,1,1,wild,4733,113225
Switzerland,Sursee,8.107,47.173,1/25/2023,12/31/1969,Other,Yellow-legged Gull,0,1,wild,4733,113223
Switzerland,Wollishofen,8.539,47.337,1/22/2023,12/31/1969,Other,Yellow-legged Gull,1,1,wild,4733,113224
Switzerland,Basel-Stadt,7.598,47.557,1/23/2023,12/31/1969,Other,Black-headed Gull,1,1,wild,4733,113222
Switzerland,Basel-Stadt,7.5768,47.5464,1/15/2023,12/31/1969,Zoo,Grey Heron,1,1,wild,4733,112712
Switzerland,Stein am Rhein,8.859,47.657,1/11/2023,12/31/1969,Body of water,Black-headed Gull,1,1,wild,4733,112711
Switzerland,San Nazzaro,8.804,46.132,11/27/2022,12/31/1969,Body of water,Mute Swan,1,1,wild,4733,109725
Switzerland,Seuzach,8.737,47.543,11/13/2022,12/31/1969,Other,Grey Heron,1,1,wild,4733,109048
Switzerland,Seuzach,8.737,47.543,11/13/2022,12/31/1969,Other,Birds,1,25,domestic,4733,109048
Switzerland,Steckborn,8.983,47.669,12/7/2022,12/31/1969,Other,Black-headed Gull,0,1,wild,4733,110593
Switzerland,Tenero,8.846,46.172,12/7/2022,12/31/1969,Body of water,Mute Swan,1,1,wild,4733,110120
Switzerland,Schaffhausen,8.632,47.697,2/19/2023,12/31/1969,Other,Black-headed Gull;Grey Heron,2,2,wild,4733,114784
Switzerland,Romanshorn,9.38,47.565,2/28/2023,12/31/1969,Body of water,Little Grebe;Black-headed Gull,4,4,wild,4733,115449
Switzerland,Zurich,8.6944,47.6369,2/2/2023,12/31/1969,Backyard,Black Swan;Anatidae (unidentified),3,8,wild,4733,113817
Lithuania,Krivenai,23.7545,55.1189,6/22/2022,9/28/2022,Body of water,Black-headed Gull,50,50,wild,4333,104428
Lithuania,Kelmė,23.048355,55.601095,4/14/2022,4/21/2022,Body of water,White Stork,1,1,wild,4333,102501
Lithuania,Šiauliai,23.498745,55.906335,4/14/2022,4/21/2022,Body of water,White Stork,2,2,wild,4333,102500
Lithuania,Šilutės,21.462282,55.340106,4/6/2022,4/12/2022,Body of water,Mallard,1,1,wild,4333,101537
